prime_mover,rowid,CHP_fixed_adj,CHP_variable_adj,age_fixed_adj,age_obs_fixed_adj,age_obs_variable_adj,age_variable_adj,capacity_adj,duct_burners_fixed_adj,fluidized_bed_variable_adj,gas_age_fixed_adj,gas_age_variable_adj,gas_fixed_adj,gas_pollution_fixed_adj,gas_starts_adj,gen_adj,oil_age_fixed_adj,oil_fixed_adj,oil_starts_adj,oil_variable_adj,pollution_fixed_adj,pollution_variable_adj,pulverized_coal_fixed_adj,starts_adj,supercritical_fixed_adj,supercritical_variable_adj,real_opex
ST,3727,0,0,465.2112007410244,414.82885038363077,287155.8437496506,322031.8807311391,38.002567745829225,0,0,465.2112007410244,322031.8807311391,38.002567745829225,1717.6494967575472,4826.326103720312,26306.413827328783,0,0,0,0,1717.6494967575472,1189003.8266418492,0,4826.326103720312,0,0,1916511.0593716518
ST,3728,0,0,508.20962048185424,380.6133169577171,161163.7888236188,215192.12361812333,38.38183711176316,0,0,508.20962048185424,215192.12361812333,38.38183711176316,1699.619042517427,3224.0743173881056,16252.09107339226,0,0,0,0,1699.619042517427,719672.781389595,0,3224.0743173881056,0,0,1624385.5029486832
ST,3729,0,0,542.3779297723509,339.466155857523,226215.6171795098,361433.25633761584,38.08047095422613,0,0,542.3779297723509,361433.25633761584,38.08047095422613,1661.9307009090974,3541.48379874303,25376.306564746916,0,0,0,0,1661.9307009090974,1107487.9563944463,0,3541.48379874303,0,0,1333334.7157544098
ST,3730,0,0,580.2939169917979,301.33987015327125,149382.39199507158,287667.52085057023,38.07138968297555,0,0,580.2939169917979,287667.52085057023,38.07138968297555,1635.0114151628643,2703.068667491264,18873.026176478692,0,0,0,0,1635.0114151628643,810519.7497166452,0,2703.068667491264,0,0,1237432.5971968777
ST,3731,0,0,616.2921207597665,262.4228532121248,274732.8706900754,645201.8238790429,37.9453472429646,0,0,616.2921207597665,645201.8238790429,37.9453472429646,1627.6664034666742,4401.6602801838935,39725.328986361856,0,0,0,0,1627.6664034666742,1704018.7547565657,0,4401.6602801838935,0,0,2018956.638485847
ST,3732,0,0,647.3627890306043,222.15323130990626,215024.1321596884,626588.3286189858,37.54811093750267,0,0,647.3627890306043,626588.3286189858,37.54811093750267,1590.5618023488616,3604.6186500002564,36343.157922871906,0,0,0,0,1590.5618023488616,1539519.228146212,0,3604.6186500002564,0,0,1280175.8946614056
ST,3733,0,0,657.3776889686221,177.09011381787377,127520.9810501253,473371.697665496,36.03463179497403,0,0,657.3776889686221,473371.697665496,36.03463179497403,1494.6093868210512,3855.7056020622213,25948.21076799903,0,0,0,0,1494.6093868210512,1076254.6320917772,0,3855.7056020622213,0,0,1161061.405499347
ST,3734,0,0,678.6145744329639,138.07434068868284,145326.38162803615,714257.2626492042,35.266890165413564,0,0,678.6145744329639,714257.2626492042,35.266890165413564,1427.8898630266983,4373.094380511282,37119.203419328805,0,0,0,0,1427.8898630266983,1502886.5328779414,0,4373.094380511282,0,0,1542234.3870302297
ST,3737,0,0,391.7558009196131,564.3884355712038,154103.69693073735,106967.14073291435,40.555356303832816,0,0,391.7558009196131,106967.14073291435,40.555356303832816,2562.710979548593,1500.5481832418143,11073.455696232897,0,0,0,0,2562.710979548593,699736.5842794726,0,1500.5481832418143,0,0,1132278.827354937
ST,3738,0,0,427.23561616888816,517.5010426410399,188311.57258467475,155465.2147836379,40.07149794883185,0,0,427.23561616888816,155465.2147836379,40.07149794883185,2541.1766944373076,3005.3623461623883,14581.471674062424,0,0,0,0,2541.1766944373076,924699.5466962666,0,3005.3623461623883,0,0,1643882.13545449
ST,3739,0,0,461.6735623658737,471.72874723721816,235317.5971161296,230301.65955383095,39.59074561773758,0,0,461.6735623658737,230301.65955383095,39.59074561773758,2470.1716288517296,3642.3485968318573,19749.48353553914,0,0,0,0,2470.1716288517296,1232222.6609469685,0,3642.3485968318573,0,0,2075304.107293539
ST,3740,0,0,481.1301408234661,414.82885038363077,214268.52915156304,248514.652511248,38.002567745829225,0,0,481.1301408234661,248514.652511248,38.002567745829225,2298.5273265701003,3496.236232616289,19629.189935442286,0,0,0,0,2298.5273265701003,1187241.6034308784,0,3496.236232616289,0,0,1916511.0593716518
ST,3741,0,0,524.2874331529007,380.6133169577171,147401.15729453406,203042.22411194156,38.38183711176316,0,0,524.2874331529007,203042.22411194156,38.38183711176316,2274.3993005324123,3300.837991611632,14864.238736010097,0,0,0,0,2274.3993005324123,880812.8200243704,0,3300.837991611632,0,0,1624385.5029486832
ST,3742,0,0,558.3295028209385,339.466155857523,174447.02841123752,286917.9179155509,38.08047095422613,0,0,558.3295028209385,286917.9179155509,38.08047095422613,2223.96544703472,3198.7595601549947,19569.03474422743,0,0,0,0,2223.96544703472,1142865.516429592,0,3198.7595601549947,0,0,1333334.7157544098
ST,3743,0,0,596.2416859760424,301.33987015327125,104838.88027968808,207437.90293002856,38.07138968297555,0,0,596.2416859760424,207437.90293002856,38.07138968297555,2187.94254829067,2512.711719076386,13245.382574249765,0,0,0,0,2187.94254829067,761205.1029371265,0,2512.711719076386,0,0,1237432.5971968777
ST,3744,0,0,632.1870916787906,262.4228532121248,232363.50820782688,559772.9339046746,37.9453472429646,0,0,632.1870916787906,559772.9339046746,37.9453472429646,2178.1135871844954,3604.807988081637,33598.880195134116,0,0,0,0,2178.1135871844954,1928620.5762888172,0,3604.807988081637,0,0,2018956.638485847
ST,3745,0,0,663.0913611686957,222.15323130990626,168679.9387461968,503482.25648374896,37.54811093750267,0,0,663.0913611686957,503482.25648374896,37.54811093750267,2128.4608845977496,3041.396985937716,28510.109961614246,0,0,0,0,2128.4608845977496,1616130.6748528688,0,3041.396985937716,0,0,1280175.8946614056
ST,3746,0,0,672.4722780572766,177.09011381787377,79010.36418997002,300029.6202396,36.03463179497403,0,0,672.4722780572766,300029.6202396,36.03463179497403,2000.0591067278071,2882.7705435979224,16077.178562889441,0,0,0,0,2000.0591067278071,892344.5528221271,0,2882.7705435979224,0,0,1161061.405499347
ST,3747,0,0,693.387563331823,138.07434068868284,152321.10220519695,764932.5528210613,35.266890165413564,0,0,693.387563331823,764932.5528210613,35.266890165413564,1910.7762530684547,3738.290357533838,38905.792014299426,0,0,0,0,1910.7762530684547,2107933.6209987,0,3738.290357533838,0,0,1542234.3870302297
ST,3750,0,0,445.73159225882205,846.5826533568058,537759.5630201625,283134.11020998267,60.83303445574923,0,0,445.73159225882205,283134.11020998267,60.83303445574923,3844.066469322888,5779.1382732961765,38641.880856406526,0,0,0,0,3844.066469322888,2441797.6160589815,0,5779.1382732961765,0,0,1698418.2410324053
ST,3751,0,0,500.6443226007459,776.2515639615599,420681.30211783445,271318.88076944667,60.10724692324778,0,0,500.6443226007459,271318.88076944667,60.10724692324778,3811.765041655961,7272.976877712981,32574.4849689504,0,0,0,0,3811.765041655961,2065745.6365144001,0,7272.976877712981,0,0,2465823.2031817352
ST,3752,0,0,553.9833814694986,707.5931208558274,500857.9973791164,392127.9035168267,59.38611842660637,0,0,553.9833814694986,392127.9035168267,59.38611842660637,3705.257443277593,8076.5121060184665,42035.474159632875,0,0,0,0,3705.257443277593,2622704.726933323,0,8076.5121060184665,0,0,3112956.1609403086
ST,3753,0,0,588.7252411348031,622.2432755754461,451918.3207792944,427575.08649326744,57.00385161874384,0,0,588.7252411348031,427575.08649326744,57.00385161874384,3447.790989855149,7980.539226624137,41400.34278019495,0,0,0,0,3447.790989855149,2504036.5652684346,0,7980.539226624137,0,0,2874766.5890574777
ST,3754,0,0,652.1341262417858,570.9199754365757,342491.4331433384,391211.3100044094,57.57275566764474,0,0,652.1341262417858,391211.3100044094,57.57275566764474,3411.5989507986174,6217.857612105632,34537.54719922815,0,0,0,0,3411.5989507986174,2046597.534226813,0,6217.857612105632,0,0,2436578.2544230246
